destination,year,month,foreign_visitors,local_visitors,total_visitors,national_arrivals_month,season_month_index,data_basis
Sigiriya,2015,1,18557,25493,44050,156246,0.0911,official
Sigiriya,2015,2,18471,26526,44997,165541,0.0903,official
Sigiriya,2015,3,17814,24940,42754,157051,0.0894,official
Sigiriya,2015,4,14641,20021,34662,122217,0.0697,official
Sigiriya,2015,5,11498,16594,28092,113529,0.0581,official
Sigiriya,2015,6,12693,17769,30462,115467,0.0641,official
Sigiriya,2015,7,19012,24909,43921,175804,0.094,official
Sigiriya,2015,8,16857,24469,41326,166610,0.0886,official
Sigiriya,2015,9,13793,20104,33897,143374,0.0709,official
Sigiriya,2015,10,14953,20609,35562,132280,0.0766,official
Sigiriya,2015,11,18951,25242,44193,144147,0.0905,official
Sigiriya,2015,12,23480,31403,54883,206114,0.1168,official
Sigiriya,2016,1,20511,29290,49801,194280,0.0911,official
Sigiriya,2016,2,19949,29254,49203,197697,0.0903,official
Sigiriya,2016,3,20090,28392,48482,192841,0.0894,official
Sigiriya,2016,4,15653,23558,39211,136367,0.0697,official
Sigiriya,2016,5,13294,18029,31323,125044,0.0581,official
Sigiriya,2016,6,15041,19798,34839,118038,0.0641,official
Sigiriya,2016,7,21660,28363,50023,209351,0.094,official
Sigiriya,2016,8,19465,28550,48015,186288,0.0886,official
Sigiriya,2016,9,16582,22828,39410,148499,0.0709,official
Sigiriya,2016,10,17469,24320,41789,150419,0.0766,official
Sigiriya,2016,11,19783,28356,48139,167217,0.0905,official
Sigiriya,2016,12,26352,38597,64949,224791,0.1168,official
Sigiriya,2017,1,21740,28533,50273,219360,0.0911,official
Sigiriya,2017,2,21531,29509,51040,197517,0.0903,official
Sigiriya,2017,3,20684,30101,50785,188076,0.0894,official
Sigiriya,2017,4,16960,23675,40635,160249,0.0697,official
Sigiriya,2017,5,13380,19037,32417,121891,0.0581,official
Sigiriya,2017,6,15299,21828,37127,123351,0.0641,official
Sigiriya,2017,7,21894,30925,52819,205482,0.094,official
Sigiriya,2017,8,20227,28239,48466,190928,0.0886,official
