year,month,national_arrivals,excluded,period,fitted
2015,1,156246,False,clean_train,165590.5650170421
2015,2,165541,False,clean_train,156035.56330495456
2015,3,157051,False,clean_train,157527.82279671633
2015,4,122217,False,clean_train,134729.95634302573
2015,5,113529,False,clean_train,106546.68537905731
2015,6,115467,False,clean_train,124765.44364696757
2015,7,175804,False,clean_train,144957.17646914325
2015,8,166610,False,clean_train,176210.45824237648
2015,9,143374,False,clean_train,137468.4028713667
2015,10,132280,False,clean_train,157400.86992598843
2015,11,144147,False,clean_train,138997.16025448922
2015,12,206114,False,clean_train,194026.1738521416
2016,1,194280,False,clean_train,185614.3384531834
2016,2,197697,False,clean_train,198661.7613184209
2016,3,192841,False,clean_train,190504.29339159853
2016,4,136367,False,clean_train,161071.30323972978
2016,5,125044,False,clean_train,129934.79770801663
2016,6,118038,False,clean_train,130397.13888091114
2016,7,209351,False,clean_train,170962.32425891652
2016,8,186288,False,clean_train,196760.37664683076
2016,9,148499,False,clean_train,163864.31108603047
2016,10,150419,False,clean_train,148001.6813956507
2016,11,167217,False,clean_train,158190.51907252395
2016,12,224791,False,clean_train,224445.37376277623
2017,1,219360,False,clean_train,211308.5427545686
2017,2,197517,False,clean_train,221843.590073677
2017,3,188076,False,clean_train,197003.71954402098
2017,4,160249,False,clean_train,139996.9359451017
2017,5,121891,False,clean_train,144488.34320594132
2017,6,123351,False,clean_train,123751.26144545693
2017,7,205482,False,clean_train,201940.77682608733
2017,8,190928,False,clean_train,187193.07472915787
2017,9,145077,False,clean_train,156029.77169697935
2017,10,152429,False,clean_train,147812.7487018395
2017,11,167511,False,clean_train,165553.1114558631
2017,12,244536,False,clean_train,225260.98764277526
2018,1,238924,False,clean_train,232842.1440822887
2018,2,235618,False,clean_train,224183.40837464618
2018,3,233382,False,clean_train,225192.39866372076
2018,4,180429,False,clean_train,198042.7519287717
2018,5,129466,False,clean_train,153870.14368482094
2018,6,146828,False,clean_train,133795.29680504728
2018,7,217829,False,clean_train,224648.78422752614
2018,8,200359,False,clean_train,204213.33450587807
2018,9,149087,False,clean_train,158466.59649302784
2018,10,153123,False,clean_train,156141.53154206253
2018,11,195582,False,clean_train,168295.7152885052
2018,12,253169,False,clean_train,261385.31503581977
2023,1,102545,False,recent,304086.5943221464
2023,2,107639,False,recent,91852.53713326121
2023,3,125495,False,recent,95168.19644130135
2023,4,105498,False,recent,65997.1053668351
2023,5,83309,False,recent,45446.92327956719
2023,6,100388,False,recent,79378.12361845946
2023,7,143039,False,recent,160743.34744045377
2023,8,136405,False,recent,120918.4094974342
2023,9,111938,False,recent,73227.23895541223
2023,10,109199,False,recent,95919.14684429439
2023,11,151496,False,recent,128548.31764490415
2023,12,210352,False,recent,194772.5467305812
2024,1,208253,False,recent,172012.8296293869
2024,2,218350,False,recent,207532.17614849395
2024,3,209181,False,recent,230250.0059760385
2024,4,148867,False,recent,189039.5625940249
2024,5,112128,False,recent,129847.77518962485
2024,6,113470,False,recent,128989.4640621734
2024,7,187810,False,recent,159861.40623346315
2024,8,164609,False,recent,172032.32338465366
2024,9,122140,False,recent,138293.89370192788
2024,10,135907,False,recent,121221.58713584278
2024,11,184158,False,recent,171961.57349902915
2024,12,248592,False,recent,239494.07160552725
2025,1,252761,False,recent,241993.33419400622
2025,2,240217,False,recent,258813.8159871989
2025,3,229298,False,recent,241531.03872398825
2025,4,174608,False,recent,180743.8956588655
2025,5,132919,False,recent,141560.9492207531
2025,6,138241,False,recent,139495.58004766123
2025,7,200244,False,recent,204005.31068927702
2025,8,198235,False,recent,181547.82905957673
2025,9,158971,False,recent,156076.6729803331
2025,10,165193,False,recent,167772.06639803207
2025,11,212906,False,recent,211629.0129996846
