year,month,national_arrivals,excluded,period
1971,1,5931,False,historical
1971,2,6570,False,historical
1971,3,5166,False,historical
1971,4,1539,False,historical
1971,5,952,False,historical
1971,6,961,False,historical
1971,7,1897,False,historical
1971,8,2467,False,historical
1971,9,1881,False,historical
1971,10,2585,False,historical
1971,11,4003,False,historical
1971,12,5702,False,historical
1972,1,5762,False,historical
1972,2,5848,False,historical
1972,3,5564,False,historical
1972,4,3091,False,historical
1972,5,3282,False,historical
1972,6,2302,False,historical
1972,7,3703,False,historical
1972,8,4634,False,historical
1972,9,3402,False,historical
1972,10,4476,False,historical
1972,11,6155,False,historical
1972,12,7828,False,historical
1973,1,9386,False,historical
1973,2,8343,False,historical
1973,3,7875,False,historical
1973,4,5468,False,historical
1973,5,4168,False,historical
1973,6,3246,False,historical
1973,7,5919,False,historical
1973,8,6680,False,historical
1973,9,4184,False,historical
1973,10,5977,False,historical
1973,11,7137,False,historical
1973,12,9505,False,historical
1974,1,10915,False,historical
1974,2,9648,False,historical
1974,3,9847,False,historical
1974,4,6400,False,historical
1974,5,3241,False,historical
1974,6,3303,False,historical
1974,7,5404,False,historical
1974,8,6147,False,historical
1974,9,4986,False,historical
1974,10,6199,False,historical
1974,11,8338,False,historical
1974,12,10583,False,historical
1975,1,11740,False,historical
1975,2,10388,False,historical
1975,3,11158,False,historical
1975,4,5890,False,historical
1975,5,5587,False,historical
1975,6,4787,False,historical
1975,7,5925,False,historical
1975,8,8565,False,historical
1975,9,5287,False,historical
1975,10,7622,False,historical
1975,11,11271,False,historical
1975,12,14984,False,historical
1976,1,15627,False,historical
1976,2,15214,False,historical
1976,3,13431,False,historical
1976,4,8886,False,historical
1976,5,6097,False,historical
1976,6,4550,False,historical
1976,7,4278,False,historical
1976,8,3481,False,historical
1976,9,6707,False,historical
1976,10,10636,False,historical
1976,11,13600,False,historical
1976,12,16464,False,historical
1977,1,17569,False,historical
1977,2,18064,False,historical
1977,3,18216,False,historical
1977,4,9891,False,historical
1977,5,7602,False,historical
1977,6,5536,False,historical
1977,7,9881,False,historical
1977,8,11129,False,historical
1977,9,7594,False,historical
1977,10,11541,False,historical
1977,11,17106,False,historical
1977,12,19536,False,historical
1978,1,23114,False,historical
1978,2,22427,False,historical
1978,3,20497,False,historical
1978,4,11545,False,historical
1978,5,8803,False,historical
1978,6,7134,False,historical
1978,7,13252,False,historical
1978,8,15542,False,historical
1978,9,10245,False,historical
1978,10,14340,False,historical
1978,11,20759,False,historical
1978,12,24934,False,historical
1979,1,28366,False,historical
1979,2,25226,False,historical
1979,3,25472,False,historical
1979,4,18847,False,historical
1979,5,13042,False,historical
1979,6,10674,False,historical
1979,7,16801,False,historical
1979,8,20203,False,historical
1979,9,14798,False,historical
1979,10,19376,False,historical
1979,11,25743,False,historical
1979,12,31616,False,historical
1980,1,36108,False,historical
1980,2,33896,False,historical
1980,3,34416,False,historical
1980,4,21806,False,historical
1980,5,19468,False,historical
1980,6,15082,False,historical
1980,7,22986,False,historical
1980,8,27440,False,historical
1980,9,19962,False,historical
1980,10,23646,False,historical
1980,11,23988,False,historical
1980,12,37982,False,historical
1981,1,45168,False,historical
1981,2,39384,False,historical
1981,3,38376,False,historical
1981,4,28568,False,historical
1981,5,21642,False,historical
1981,6,16836,False,historical
1981,7,28266,False,historical
1981,8,32788,False,historical
1981,9,24086,False,historical
1981,10,27030,False,historical
1981,11,29512,False,historical
1981,12,39086,False,historical
1982,1,40932,False,historical
1982,2,40148,False,historical
1982,3,42178,False,historical
1982,4,29606,False,historical
1982,5,28972,False,historical
1982,6,25772,False,historical
1982,7,30942,False,historical
1982,8,34332,False,historical
1982,9,29754,False,historical
1982,10,30296,False,historical
1982,11,33748,False,historical
1982,12,40550,False,historical
1983,1,49104,False,historical
1983,2,44018,False,historical
1983,3,44710,False,historical
1983,4,32556,False,historical
1983,5,32850,False,historical
1983,6,24350,False,historical
1983,7,25132,False,historical
1983,8,8430,False,historical
1983,9,10050,False,historical
1983,10,16410,False,historical
1983,11,20570,False,historical
1983,12,29350,False,historical
1984,1,33546,False,historical
1984,2,32406,False,historical
1984,3,32628,False,historical
1984,4,23684,False,historical
1984,5,18224,False,historical
1984,6,17866,False,historical
1984,7,26694,False,historical
1984,8,27626,False,historical
1984,9,21764,False,historical
1984,10,25800,False,historical
1984,11,27906,False,historical
1984,12,29590,False,historical
1985,1,28814,False,historical
1985,2,27012,False,historical
1985,3,29886,False,historical
1985,4,19778,False,historical
1985,5,14014,False,historical
1985,6,11092,False,historical
1985,7,18362,False,historical
1985,8,20138,False,historical
1985,9,15242,False,historical
1985,10,18176,False,historical
1985,11,23218,False,historical
1985,12,31724,False,historical
1986,1,32890,False,historical
1986,2,30512,False,historical
1986,3,28932,False,historical
1986,4,19262,False,historical
1986,5,13100,False,historical
1986,6,9536,False,historical
1986,7,12330,False,historical
1986,8,15190,False,historical
1986,9,12398,False,historical
1986,10,12732,False,historical
1986,11,18114,False,historical
1986,12,25110,False,historical
1987,1,25446,False,historical
1987,2,23714,False,historical
1987,3,22838,False,historical
1987,4,16238,False,historical
1987,5,8204,False,historical
1987,6,7650,False,historical
1987,7,10200,False,historical
1987,8,11408,False,historical
1987,9,10072,False,historical
1987,10,12146,False,historical
1987,11,14188,False,historical
1987,12,20516,False,historical
1988,1,20400,False,historical
1988,2,19150,False,historical
1988,3,19430,False,historical
1988,4,13834,False,historical
1988,5,11124,False,historical
1988,6,11540,False,historical
1988,7,17660,False,historical
1988,8,18670,False,historical
1988,9,14980,False,historical
1988,10,16742,False,historical
1988,11,10560,False,historical
1988,12,8572,False,historical
1989,1,12962,False,historical
1989,2,12344,False,historical
1989,3,16032,False,historical
1989,4,12312,False,historical
1989,5,12750,False,historical
1989,6,11630,False,historical
1989,7,15194,False,historical
1989,8,17220,False,historical
1989,9,14264,False,historical
1989,10,15050,False,historical
1989,11,18948,False,historical
1989,12,26026,False,historical
1990,1,26592,False,historical
1990,2,26368,False,historical
1990,3,26946,False,historical
1990,4,22788,False,historical
1990,5,18286,False,historical
1990,6,18050,False,historical
1990,7,26410,False,historical
1990,8,26786,False,historical
1990,9,22438,False,historical
1990,10,23060,False,historical
1990,11,24596,False,historical
1990,12,35568,False,historical
1991,1,28932,False,historical
1991,2,28080,False,historical
1991,3,27153,False,historical
1991,4,20541,False,historical
1991,5,17745,False,historical
1991,6,17394,False,historical
1991,7,30645,False,historical
1991,8,28824,False,historical
1991,9,24762,False,historical
1991,10,25173,False,historical
1991,11,28272,False,historical
1991,12,40182,False,historical
1992,1,35730,False,historical
1992,2,38859,False,historical
1992,3,33399,False,historical
1992,4,28410,False,historical
1992,5,21024,False,historical
1992,6,23157,False,historical
1992,7,33771,False,historical
1992,8,40143,False,historical
1992,9,29838,False,historical
1992,10,32079,False,historical
1992,11,35967,False,historical
1992,12,41292,False,historical
1993,1,42726,False,historical
1993,2,40116,False,historical
1993,3,37953,False,historical
1993,4,29589,False,historical
1993,5,22368,False,historical
1993,6,20412,False,historical
1993,7,32904,False,historical
1993,8,32796,False,historical
1993,9,27495,False,historical
1993,10,30621,False,historical
1993,11,35103,False,historical
1993,12,40167,False,historical
1994,1,45402,False,historical
1994,2,41067,False,historical
1994,3,41277,False,historical
1994,4,28080,False,historical
1994,5,21777,False,historical
1994,6,21399,False,historical
1994,7,35370,False,historical
1994,8,32817,False,historical
1994,9,31062,False,historical
1994,10,33216,False,historical
1994,11,33306,False,historical
1994,12,42738,False,historical
1995,1,45987,False,historical
1995,2,42591,False,historical
1995,3,40074,False,historical
1995,4,33756,False,historical
1995,5,24672,False,historical
1995,6,22416,False,historical
1995,7,35994,False,historical
1995,8,35814,False,historical
1995,9,30828,False,historical
1995,10,30603,False,historical
