destination,year,month,month_name,predicted_tourist_arrivals,predicted_foreign_visitors,predicted_local_visitors,confidence_lower,confidence_upper,estimated_revenue_lkr,estimated_foreign_revenue_lkr,estimated_local_revenue_lkr,national_arrivals,national_lower,national_upper,model_used,mape_pct,forecast_horizon_years,calibration_basis,data_source
Sigiriya,2026,1,January,117569,68402,49167,105812,129325,437125446,432361749,4763697,279687,262523,296851,SARIMA,6.78,1,official_ticket_count,forecast
Yala,2026,1,January,123736,73312,50424,111362,136109,489566554,482495051,7071502,279687,262523,296851,SARIMA,6.78,1,official_ticket_count,forecast
Horton Plains,2026,1,January,38773,6077,32696,34895,42650,48930039,44204765,4725273,279687,262523,296851,SARIMA,6.78,1,official_ticket_count,forecast
Polonnaruwa,2026,1,January,25326,13520,11806,22793,27858,104662053,102914145,1747908,279687,262523,296851,SARIMA,6.78,1,official_ticket_count,forecast
Anuradhapura,2026,1,January,34127,20099,14028,30714,37539,103012689,100399829,2612859,279687,262523,296851,SARIMA,6.78,1,official_ticket_count,forecast
Mirissa,2026,1,January,15836,12598,3238,14252,17419,27907230,27589957,317272,279687,262523,296851,SARIMA,6.78,1,official_ticket_count,forecast
Jaffna,2026,1,January,24657,1705,22952,22191,27122,3117124,1979655,1137468,279687,262523,296851,SARIMA,6.78,1,official_ticket_count,forecast
Trincomalee,2026,1,January,12771,3426,9345,11493,14048,19923650,18651664,1271985,279687,262523,296851,SARIMA,6.78,1,official_ticket_count,forecast
Kandy,2026,1,January,85889,31061,54828,77300,94477,187283900,170835500,16448400,279687,262523,296851,SARIMA,6.78,1,sltda_district_telecom,forecast
Dambulla,2026,1,January,54495,19708,34787,49045,59944,118830100,108394000,10436100,279687,262523,296851,SARIMA,6.78,1,sltda_district_telecom,forecast
Galle Fort,2026,1,January,116551,42150,74401,104895,128206,254145300,231825000,22320300,279687,262523,296851,SARIMA,6.78,1,sltda_district_telecom,forecast
Nuwara Eliya,2026,1,January,42196,15260,26936,37976,46415,92010800,83930000,8080800,279687,262523,296851,SARIMA,6.78,1,sltda_district_telecom,forecast
Unawatuna,2026,1,January,66599,24085,42514,59939,73258,145221700,132467500,12754200,279687,262523,296851,SARIMA,6.78,1,sltda_district_telecom,forecast
Adams Peak,2026,1,January,14064,5086,8978,12657,15470,30666400,27973000,2693400,279687,262523,296851,SARIMA,6.78,1,sltda_district_telecom,forecast
Bentota,2026,1,January,49950,18064,31886,44955,54945,108917800,99352000,9565800,279687,262523,296851,SARIMA,6.78,1,sltda_district_telecom,forecast
Arugam Bay,2026,1,January,31461,11378,20083,28314,34607,68603900,62579000,6024900,279687,262523,296851,SARIMA,6.78,1,sltda_district_telecom,forecast
Colombo,2026,1,January,52267,18902,33365,47040,57493,113970500,103961000,10009500,279687,262523,296851,SARIMA,6.78,1,sltda_district_telecom,forecast
Negombo,2026,1,January,65463,23674,41789,58916,72009,142743700,130207000,12536700,279687,262523,296851,SARIMA,6.78,1,sltda_district_telecom,forecast
Ella,2026,1,January,35691,12907,22784,32121,39260,77823700,70988500,6835200,279687,262523,296851,SARIMA,6.78,1,sltda_district_telecom,forecast
Pinnawala,2026,1,January,31570,11417,20153,28413,34727,68839400,62793500,6045900,279687,262523,296851,SARIMA,6.78,1,sltda_district_telecom,forecast
Sigiriya,2026,2,February,115310,66831,48479,103779,126841,427128663,422431625,4697038,273265,251317,295213,SARIMA,6.78,1,official_ticket_count,forecast
Yala,2026,2,February,121347,71629,49718,109212,133481,478391060,471418568,6972492,273265,251317,295213,SARIMA,6.78,1,official_ticket_count,forecast
Horton Plains,2026,2,February,38175,5937,32238,34357,41992,47845472,43186390,4659082,273265,251317,295213,SARIMA,6.78,1,official_ticket_count,forecast
Polonnaruwa,2026,2,February,24851,13210,11641,22365,27336,102277907,100554427,1723480,273265,251317,295213,SARIMA,6.78,1,official_ticket_count,forecast
Anuradhapura,2026,2,February,33469,19638,13831,30122,36815,100673179,98097012,2576166,273265,251317,295213,SARIMA,6.78,1,official_ticket_count,forecast
Mirissa,2026,2,February,15502,12309,3193,13951,17052,27269903,26957039,312863,273265,251317,295213,SARIMA,6.78,1,official_ticket_count,forecast
Jaffna,2026,2,February,24296,1666,22630,21866,26725,3055884,1934373,1121511,273265,251317,295213,SARIMA,6.78,1,official_ticket_count,forecast
Trincomalee,2026,2,February,12562,3348,9214,11305,13818,19481175,18227021,1254154,273265,251317,295213,SARIMA,6.78,1,official_ticket_count,forecast
Kandy,2026,2,February,84407,30348,54059,75966,92847,183131700,166914000,16217700,273265,251317,295213,SARIMA,6.78,1,sltda_district_telecom,forecast
Dambulla,2026,2,February,53555,19255,34300,48199,58910,116192500,105902500,10290000,273265,251317,295213,SARIMA,6.78,1,sltda_district_telecom,forecast
Galle Fort,2026,2,February,114540,41182,73358,103086,125994,248508400,226501000,22007400,273265,251317,295213,SARIMA,6.78,1,sltda_district_telecom,forecast
Nuwara Eliya,2026,2,February,41469,14910,26559,37322,45615,89972700,82005000,7967700,273265,251317,295213,SARIMA,6.78,1,sltda_district_telecom,forecast
Unawatuna,2026,2,February,65451,23532,41919,58905,71996,142001700,129426000,12575700,273265,251317,295213,SARIMA,6.78,1,sltda_district_telecom,forecast
Adams Peak,2026,2,February,13823,4970,8853,12440,15205,29990900,27335000,2655900,273265,251317,295213,SARIMA,6.78,1,sltda_district_telecom,forecast
Bentota,2026,2,February,49088,17649,31439,44179,53996,106501200,97069500,9431700,273265,251317,295213,SARIMA,6.78,1,sltda_district_telecom,forecast
Arugam Bay,2026,2,February,30918,11116,19802,27826,34009,67078600,61138000,5940600,273265,251317,295213,SARIMA,6.78,1,sltda_district_telecom,forecast
Colombo,2026,2,February,51366,18468,32898,46229,56502,111443400,101574000,9869400,273265,251317,295213,SARIMA,6.78,1,sltda_district_telecom,forecast
Negombo,2026,2,February,64334,23131,41203,57900,70767,139581400,127220500,12360900,273265,251317,295213,SARIMA,6.78,1,sltda_district_telecom,forecast
Ella,2026,2,February,35075,12611,22464,31567,38582,76099700,69360500,6739200,273265,251317,295213,SARIMA,6.78,1,sltda_district_telecom,forecast
Pinnawala,2026,2,February,31026,11155,19871,27923,34128,67313800,61352500,5961300,273265,251317,295213,SARIMA,6.78,1,sltda_district_telecom,forecast
Sigiriya,2026,3,March,112350,64745,47605,101115,123585,413858600,409246242,4612357,264736,238554,290917,SARIMA,6.78,1,official_ticket_count,forecast
Yala,2026,3,March,118215,69393,48822,106393,130036,463549411,456702574,6846837,264736,238554,290917,SARIMA,6.78,1,official_ticket_count,forecast
Horton Plains,2026,3,March,37409,5752,31657,33668,41149,46415795,41840680,4575115,264736,238554,290917,SARIMA,6.78,1,official_ticket_count,forecast
Polonnaruwa,2026,3,March,24228,12797,11431,21805,26650,99103063,97410674,1692388,264736,238554,290917,SARIMA,6.78,1,official_ticket_count,forecast
Anuradhapura,2026,3,March,32607,19025,13582,29346,35867,97564703,95034915,2529787,264736,238554,290917,SARIMA,6.78,1,official_ticket_count,forecast
Mirissa,2026,3,March,15060,11925,3135,13554,16566,26423249,26116069,307180,264736,238554,290917,SARIMA,6.78,1,official_ticket_count,forecast
Jaffna,2026,3,March,23836,1614,22222,21452,26219,2975288,1873996,1101291,264736,238554,290917,SARIMA,6.78,1,official_ticket_count,forecast
Trincomalee,2026,3,March,12291,3243,9048,11061,13520,18886944,17655385,1231559,264736,238554,290917,SARIMA,6.78,1,official_ticket_count,forecast
Kandy,2026,3,March,82487,29401,53086,74238,90735,177631300,161705500,15925800,264736,238554,290917,SARIMA,6.78,1,sltda_district_telecom,forecast
Dambulla,2026,3,March,52336,18654,33682,47102,57569,112701600,102597000,10104600,264736,238554,290917,SARIMA,6.78,1,sltda_district_telecom,forecast
Galle Fort,2026,3,March,111934,39897,72037,100740,123127,241044600,219433500,21611100,264736,238554,290917,SARIMA,6.78,1,sltda_district_telecom,forecast
Nuwara Eliya,2026,3,March,40524,14444,26080,36471,44576,87266000,79442000,7824000,264736,238554,290917,SARIMA,6.78,1,sltda_district_telecom,forecast
Unawatuna,2026,3,March,63962,22798,41164,57565,70358,137738200,125389000,12349200,264736,238554,290917,SARIMA,6.78,1,sltda_district_telecom,forecast
Adams Peak,2026,3,March,13507,4814,8693,12156,14857,29084900,26477000,2607900,264736,238554,290917,SARIMA,6.78,1,sltda_district_telecom,forecast
Bentota,2026,3,March,47971,17098,30873,43173,52768,103300900,94039000,9261900,264736,238554,290917,SARIMA,6.78,1,sltda_district_telecom,forecast
Arugam Bay,2026,3,March,30214,10769,19445,27192,33235,65063000,59229500,5833500,264736,238554,290917,SARIMA,6.78,1,sltda_district_telecom,forecast
Colombo,2026,3,March,50197,17892,32305,45177,55216,108097500,98406000,9691500,264736,238554,290917,SARIMA,6.78,1,sltda_district_telecom,forecast
Negombo,2026,3,March,62870,22409,40461,56583,69157,135387800,123249500,12138300,264736,238554,290917,SARIMA,6.78,1,sltda_district_telecom,forecast
Ella,2026,3,March,34277,12217,22060,30849,37704,73811500,67193500,6618000,264736,238554,290917,SARIMA,6.78,1,sltda_district_telecom,forecast
Pinnawala,2026,3,March,30320,10807,19513,27288,33352,65292400,59438500,5853900,264736,238554,290917,SARIMA,6.78,1,sltda_district_telecom,forecast
Sigiriya,2026,4,April,88817,51680,37137,79935,97698,330261903,326663770,3598133,211314,181495,241133,SARIMA,6.78,1,official_ticket_count,forecast
Yala,2026,4,April,93476,55390,38086,84128,102823,369884545,364543334,5341211,211314,181495,241133,SARIMA,6.78,1,official_ticket_count,forecast
Horton Plains,2026,4,April,29287,4591,24696,26358,32215,36964540,33395438,3569101,211314,181495,241133,SARIMA,6.78,1,official_ticket_count,forecast
Polonnaruwa,2026,4,April,19132,10215,8917,17218,21045,79076693,77756508,1320184,211314,181495,241133,SARIMA,6.78,1,official_ticket_count,forecast
Anuradhapura,2026,4,April,25781,15186,10595,23202,28359,77831521,75858093,1973428,211314,181495,241133,SARIMA,6.78,1,official_ticket_count,forecast
Mirissa,2026,4,April,11964,9518,2446,10767,13160,21084344,20844674,239669,211314,181495,241133,SARIMA,6.78,1,official_ticket_count,forecast
Jaffna,2026,4,April,18624,1288,17336,16761,20486,2354629,1495482,859147,211314,181495,241133,SARIMA,6.78,1,official_ticket_count,forecast
Trincomalee,2026,4,April,9647,2589,7058,8682,10611,15055602,14094909,960692,211314,181495,241133,SARIMA,6.78,1,official_ticket_count,forecast
Kandy,2026,4,April,64880,23468,41412,58392,71368,141497600,129074000,12423600,211314,181495,241133,SARIMA,6.78,1,sltda_district_telecom,forecast
Dambulla,2026,4,April,41165,14890,26275,37048,45281,89777500,81895000,7882500,211314,181495,241133,SARIMA,6.78,1,sltda_district_telecom,forecast
Galle Fort,2026,4,April,88042,31846,56196,79237,96846,192011800,175153000,16858800,211314,181495,241133,SARIMA,6.78,1,sltda_district_telecom,forecast
Nuwara Eliya,2026,4,April,31874,11529,20345,28686,35061,69513000,63409500,6103500,211314,181495,241133,SARIMA,6.78,1,sltda_district_telecom,forecast
Unawatuna,2026,4,April,50309,18197,32112,45278,55339,109717100,100083500,9633600,211314,181495,241133,SARIMA,6.78,1,sltda_district_telecom,forecast
Adams Peak,2026,4,April,10624,3843,6781,9561,11686,23170800,21136500,2034300,211314,181495,241133,SARIMA,6.78,1,sltda_district_telecom,forecast
Bentota,2026,4,April,37732,13648,24084,33958,41505,82289200,75064000,7225200,211314,181495,241133,SARIMA,6.78,1,sltda_district_telecom,forecast
Arugam Bay,2026,4,April,23765,8596,15169,21388,26141,51828700,47278000,4550700,211314,181495,241133,SARIMA,6.78,1,sltda_district_telecom,forecast
Colombo,2026,4,April,39482,14281,25201,35533,43430,86105800,78545500,7560300,211314,181495,241133,SARIMA,6.78,1,sltda_district_telecom,forecast
Negombo,2026,4,April,49451,17887,31564,44505,54396,107847700,98378500,9469200,211314,181495,241133,SARIMA,6.78,1,sltda_district_telecom,forecast
Ella,2026,4,April,26961,9752,17209,24264,29657,58798700,53636000,5162700,211314,181495,241133,SARIMA,6.78,1,sltda_district_telecom,forecast
Pinnawala,2026,4,April,23848,8626,15222,21463,26232,52009600,47443000,4566600,211314,181495,241133,SARIMA,6.78,1,sltda_district_telecom,forecast
Sigiriya,2026,5,May,72719,42047,30672,65447,79990,268746355,265774604,2971751,171926,138867,204984,SARIMA,6.78,1,official_ticket_count,forecast
Yala,2026,5,May,76521,45065,31456,68868,84173,301001871,296590455,4411415,171926,138867,204984,SARIMA,6.78,1,official_ticket_count,forecast
Horton Plains,2026,5,May,24132,3735,20397,21718,26545,30116604,27168800,2947803,171926,138867,204984,SARIMA,6.78,1,official_ticket_count,forecast
Polonnaruwa,2026,5,May,15676,8311,7365,14108,17243,64353680,63263273,1090407,171926,138867,204984,SARIMA,6.78,1,official_ticket_count,forecast
Anuradhapura,2026,5,May,21106,12355,8751,18995,23216,63346462,61716498,1629964,171926,138867,204984,SARIMA,6.78,1,official_ticket_count,forecast
Mirissa,2026,5,May,9764,7744,2020,8787,10740,17157495,16959567,197928,171926,138867,204984,SARIMA,6.78,1,official_ticket_count,forecast
Jaffna,2026,5,May,15366,1048,14318,13829,16902,1926400,1216820,709579,171926,138867,204984,SARIMA,6.78,1,official_ticket_count,forecast
Trincomalee,2026,5,May,7935,2106,5829,7141,8728,12258792,11465384,793408,171926,138867,204984,SARIMA,6.78,1,official_ticket_count,forecast
Kandy,2026,5,May,53296,19093,34203,47966,58625,115272400,105011500,10260900,171926,138867,204984,SARIMA,6.78,1,sltda_district_telecom,forecast
Dambulla,2026,5,May,33815,12114,21701,30433,37196,73137300,66627000,6510300,171926,138867,204984,SARIMA,6.78,1,sltda_district_telecom,forecast
Galle Fort,2026,5,May,72323,25910,46413,65090,79555,156428900,142505000,13923900,171926,138867,204984,SARIMA,6.78,1,sltda_district_telecom,forecast
Nuwara Eliya,2026,5,May,26183,9380,16803,23564,28801,56630900,51590000,5040900,171926,138867,204984,SARIMA,6.78,1,sltda_district_telecom,forecast
Unawatuna,2026,5,May,41326,14805,26521,37193,45458,89383800,81427500,7956300,171926,138867,204984,SARIMA,6.78,1,sltda_district_telecom,forecast
Adams Peak,2026,5,May,8727,3126,5601,7854,9599,18873300,17193000,1680300,171926,138867,204984,SARIMA,6.78,1,sltda_district_telecom,forecast
Bentota,2026,5,May,30995,11104,19891,27895,34094,67039300,61072000,5967300,171926,138867,204984,SARIMA,6.78,1,sltda_district_telecom,forecast
Arugam Bay,2026,5,May,19522,6994,12528,17569,21474,42225400,38467000,3758400,171926,138867,204984,SARIMA,6.78,1,sltda_district_telecom,forecast
Colombo,2026,5,May,32433,11619,20814,29189,35676,70148700,63904500,6244200,171926,138867,204984,SARIMA,6.78,1,sltda_district_telecom,forecast
Negombo,2026,5,May,40622,14553,26069,36559,44684,87862200,80041500,7820700,171926,138867,204984,SARIMA,6.78,1,sltda_district_telecom,forecast
