year,destination,foreign_visitors,local_visitors,foreign_income_lkr,local_income_lkr,total_visitors,total_revenue_lkr
2017,Anuradhapura,24247,46613,47975319.0,2726350.0,70860,50701669.0
2017,Dambulla,2418,0,252328.0,0.0,2418,252328.0
2017,Galle Fort,85418,0,14325357.0,0.0,85418,14325357.0
2017,Horton Plains,121725,313579,269321363.5,17491960.0,435304,286813323.5
2017,Kandy,3713,0,91782.0,0.0,3713,91782.0
2017,Polonnaruwa,544221,200960,1298084174.3,9307730.0,745181,1307391904.3
2017,Sigiriya,1245685,0,2508796073.0,0.0,1245685,2508796073.0
2017,Trincomalee,25128,79531,35825650.0,3131390.0,104659,38957040.0
2017,Unawatuna,2508,23270,70350.0,108380.5,25778,178730.5
2017,Yala,449601,485458,933908864.12,27763207.68,935059,961672071.8
2018,Horton Plains,117632,293626,275026263.98,16294220.0,411258,291320483.98
2018,Polonnaruwa,254692,222557,463327614.64,10611240.0,477249,473938854.64
2018,Trincomalee,33120,86885,49345715.0,3643460.0,120005,52989175.0
2018,Yala,523178,517700,1181320619.58,31101093.4,1040878,1212421712.98
2020,Anuradhapura,39719,31737,94517746.0,1885079.0,71456,96402825.0
2020,Dambulla,33274,0,3609278.0,0.0,33274,3609278.0
2020,Galle Fort,12070,0,3228792.0,0.0,12070,3228792.0
2020,Horton Plains,20382,100644,51945787.0,5761610.0,121026,57707397.0
2020,Kandy,1053,0,25616.0,0.0,1053,25616.0
2020,Polonnaruwa,62808,42750,214762237.0,2051610.0,105558,216813847.0
2020,Sigiriya,285744,0,546877051.0,0.0,285744,546877051.0
2020,Trincomalee,1181,28114,2119130.0,1086050.0,29295,3205180.0
2020,Yala,120644,229283,323487772.0,20160221.0,349927,343647993.0
2023,Anuradhapura,73465,113255,496153508.0,11780011.0,186720,507933519.0
2023,Dambulla,2000,61177,1828905.0,3624982.0,63177,5453887.0
2023,Galle Fort,10555,54050,17078440.0,4499950.0,64605,21578390.0
2023,Horton Plains,30950,214756,247267547.0,30947100.0,245706,278214647.0
2023,Jaffna,10292,244827,12013301.0,6972210.0,255119,18985511.0
2023,Kandy,211,9269,66129.0,407000.0,9480,473129.0
2023,Mirissa,60900,16059,166058035.0,1582500.0,76959,167640535.0
2023,Nuwara Eliya,341,14850,1299200.0,795790.0,15191,2094990.0
2023,Polonnaruwa,180144,114252,1275887511.0,13797085.0,294396,1289684596.0
2023,Sigiriya,272475,627712,2373358021.0,57793950.0,900187,2431151971.0
2023,Trincomalee,9384,53992,65500573.0,7876310.0,63376,73376883.0
2023,Unawatuna,1385,31062,2007665.0,1198250.0,32447,3205915.0
2023,Yala,304399,350426,2433613679.0,52625864.0,654825,2486239543.0
2025,Anuradhapura,171220,143864,855289261.0,26796155.53,315084,882085416.53
2025,Dambulla,3169,55287,2872467.44,3488611.42,58456,6361078.859999999
2025,Galle Fort,16141,37416,23047194.76,3703886.03,53557,26751080.790000003
2025,Horton Plains,51770,335313,376580669.5,48459920.0,387083,425040589.5
2025,Jaffna,14532,235381,16872938.59,11665151.98,249913,28538090.57
2025,Kandy,266,6450,82714.4,303439.45,6716,386153.85
2025,Mirissa,107324,33213,235042434.0,3254350.0,140537,238296784.0
2025,Nuwara Eliya,693,10269,2304323.93,808870.0,10962,3113193.93
2025,Polonnaruwa,115175,121083,876711291.6,17926650.0,236258,894637941.6
2025,Sigiriya,582687,504231,3683102403.03,48853982.4,1086918,3731956385.4300003
2025,Trincomalee,29192,95836,158925686.54,13044624.05,125028,171970310.59
2025,Unawatuna,1613,35042,2153576.0,1338750.0,36655,3492326.0
2025,Yala,624516,517119,4110184959.87,72521190.0,1141635,4182706149.87
