destination,year,visitor_category,visitors,revenue_lkr,revenue_per_visitor,data_basis,month
Galle Fort,2015,foreign,20339,14237300,700.0,official,0
Galle Fort,2015,local,18474,554220,30.0,official,0
Galle Fort,2016,foreign,15531,10871700,700.0,official,0
Galle Fort,2016,local,13807,414210,30.0,official,0
Galle Fort,2017,foreign,15602,10921400,700.0,official,0
Galle Fort,2017,local,13215,396450,30.0,official,0
Galle Fort,2018,foreign,16753,11727100,700.0,official,0
Galle Fort,2018,local,14647,439410,30.0,official,0
Galle Fort,2020,foreign,13416,9391200,700.0,official,0
Galle Fort,2020,local,11317,339510,30.0,official,0
Kandy,2023,foreign,5288,11104800,2100.0,official,0
Kandy,2023,local,9940,497000,50.0,official,0
Anuradhapura,2023,foreign,66344,258741600,3900.0,official,0
Anuradhapura,2023,local,82696,4961760,60.0,official,0
Sigiriya,2023,foreign,272475,2574888750,9450.0,official,0
Sigiriya,2023,local,627712,62771200,100.0,official,0
Polonnaruwa,2023,foreign,181491,707814900,3900.0,official,0
Polonnaruwa,2023,local,123266,7395960,60.0,official,0
Galle Fort,2023,foreign,10555,7388500,700.0,official,0
Galle Fort,2023,local,54050,1621500,30.0,official,0
Jaffna,2023,foreign,10292,6175200,600.0,official,0
Jaffna,2023,local,244827,7344810,30.0,official,0
Dambulla,2023,foreign,270,972000,3600.0,official,0
Dambulla,2023,local,687,34350,50.0,official,0
Galle Fort,2025,foreign,28146,19702200,700.0,official,0
Galle Fort,2025,local,39758,1192740,30.0,official,0
Kandy,2025,foreign,38771,81419100,2100.0,official,0
Kandy,2025,local,20418,1020900,50.0,official,0
Anuradhapura,2025,foreign,159953,623816700,3900.0,official,0
Anuradhapura,2025,local,113016,6780960,60.0,official,0
Sigiriya,2025,foreign,582687,5506392150,9450.0,official,0
Sigiriya,2025,local,504231,50423100,100.0,official,0
Jaffna,2025,foreign,14532,8719200,600.0,official,0
Jaffna,2025,local,235381,7061430,30.0,official,0
Dambulla,2025,foreign,540,1944000,3600.0,official,0
Dambulla,2025,local,666,33300,50.0,official,0
Yala,2017,foreign,467799,4303750800,9200.0,official,0
Yala,2017,local,528812,63457440,120.0,official,0
Horton Plains,2017,foreign,121725,1034662500,8500.0,official,0
Horton Plains,2017,local,313579,31357900,100.0,official,0
Polonnaruwa,2017,foreign,213713,833480700,3900.0,official,0
Polonnaruwa,2017,local,230149,13808940,60.0,official,0
Anuradhapura,2017,foreign,24247,94563300,3900.0,official,0
Anuradhapura,2017,local,46613,2796780,60.0,official,0
Trincomalee,2017,foreign,25128,105537600,4200.0,official,0
Trincomalee,2017,local,79531,6362480,80.0,official,0
Unawatuna,2017,foreign,2508,1755600,700.0,official,0
Unawatuna,2017,local,23270,698100,30.0,official,0
Yala,2018,foreign,544931,5013365200,9200.0,official,0
Yala,2018,local,635809,76297080,120.0,official,0
Horton Plains,2018,foreign,117632,999872000,8500.0,official,0
Horton Plains,2018,local,293626,29362600,100.0,official,0
Polonnaruwa,2018,foreign,257237,1003224300,3900.0,official,0
Polonnaruwa,2018,local,255265,15315900,60.0,official,0
Trincomalee,2018,foreign,33120,139104000,4200.0,official,0
Trincomalee,2018,local,86885,6950800,80.0,official,0
Yala,2020,foreign,123472,1135942400,9200.0,official,0
Yala,2020,local,248137,29776440,120.0,official,0
Horton Plains,2020,foreign,20382,173247000,8500.0,official,0
Horton Plains,2020,local,100644,10064400,100.0,official,0
Polonnaruwa,2020,foreign,2264,8829600,3900.0,official,0
Polonnaruwa,2020,local,52211,3132660,60.0,official,0
Anuradhapura,2020,foreign,7365,28723500,3900.0,official,0
Anuradhapura,2020,local,31737,1904220,60.0,official,0
Trincomalee,2020,foreign,1181,4960200,4200.0,official,0
Trincomalee,2020,local,28114,2249120,80.0,official,0
Yala,2023,foreign,315797,2905332400,9200.0,official,0
Yala,2023,local,377276,45273120,120.0,official,0
Horton Plains,2023,foreign,30950,263075000,8500.0,official,0
Horton Plains,2023,local,214756,21475600,100.0,official,0
Trincomalee,2023,foreign,9384,39412800,4200.0,official,0
Trincomalee,2023,local,53992,4319360,80.0,official,0
Unawatuna,2023,foreign,1385,969500,700.0,official,0
Unawatuna,2023,local,31062,931860,30.0,official,0
