date,views,destination
2019-01-01,35875,Sigiriya
2019-02-01,37083,Sigiriya
2019-03-01,36095,Sigiriya
2019-04-01,28826,Sigiriya
2019-05-01,19960,Sigiriya
2019-06-01,24411,Sigiriya
2019-07-01,27699,Sigiriya
2019-08-01,27166,Sigiriya
2019-09-01,28589,Sigiriya
2019-10-01,30201,Sigiriya
2019-11-01,37508,Sigiriya
2019-12-01,29854,Sigiriya
2020-01-01,35204,Sigiriya
2020-02-01,42399,Sigiriya
2020-03-01,23520,Sigiriya
2020-04-01,41596,Sigiriya
2020-05-01,26650,Sigiriya
2020-06-01,22968,Sigiriya
2020-07-01,22551,Sigiriya
2020-08-01,28752,Sigiriya
2020-09-01,28916,Sigiriya
2020-10-01,19204,Sigiriya
2020-11-01,21235,Sigiriya
2020-12-01,28263,Sigiriya
2021-01-01,35068,Sigiriya
2021-02-01,33322,Sigiriya
2021-03-01,49503,Sigiriya
2021-04-01,42732,Sigiriya
2021-05-01,42589,Sigiriya
2021-06-01,35535,Sigiriya
2021-07-01,37314,Sigiriya
2021-08-01,34348,Sigiriya
2021-09-01,34633,Sigiriya
2021-10-01,36800,Sigiriya
2021-11-01,39003,Sigiriya
2021-12-01,38673,Sigiriya
2022-01-01,39520,Sigiriya
2022-02-01,37533,Sigiriya
2022-03-01,41807,Sigiriya
2022-04-01,32378,Sigiriya
2022-05-01,31511,Sigiriya
2022-06-01,38130,Sigiriya
2022-07-01,38829,Sigiriya
2022-08-01,50155,Sigiriya
2022-09-01,46420,Sigiriya
2022-10-01,75429,Sigiriya
2022-11-01,50101,Sigiriya
2022-12-01,26783,Sigiriya
2023-01-01,33674,Sigiriya
2023-02-01,35540,Sigiriya
2023-03-01,69901,Sigiriya
2023-04-01,43393,Sigiriya
2023-05-01,53275,Sigiriya
2023-06-01,44921,Sigiriya
2023-07-01,44934,Sigiriya
2023-08-01,45970,Sigiriya
2023-09-01,43104,Sigiriya
2023-10-01,49903,Sigiriya
2023-11-01,42273,Sigiriya
2023-12-01,45836,Sigiriya
2024-01-01,50122,Sigiriya
2024-02-01,44505,Sigiriya
2024-03-01,44612,Sigiriya
2024-04-01,33816,Sigiriya
2024-05-01,30853,Sigiriya
2024-06-01,28214,Sigiriya
2024-07-01,31566,Sigiriya
2024-08-01,34391,Sigiriya
2024-09-01,32080,Sigiriya
2024-10-01,43817,Sigiriya
2024-11-01,41680,Sigiriya
2024-12-01,35738,Sigiriya
2025-01-01,43301,Sigiriya
2025-02-01,33389,Sigiriya
2025-03-01,34696,Sigiriya
2025-04-01,27638,Sigiriya
2025-05-01,27362,Sigiriya
2025-06-01,24104,Sigiriya
2025-07-01,26601,Sigiriya
2025-08-01,27436,Sigiriya
2025-09-01,22925,Sigiriya
2025-10-01,25602,Sigiriya
2025-11-01,22665,Sigiriya
2025-12-01,19027,Sigiriya
2026-01-01,25339,Sigiriya
2026-02-01,43598,Sigiriya
2026-03-01,21380,Sigiriya
2026-04-01,17412,Sigiriya
2026-05-01,18562,Sigiriya
2026-06-01,18501,Sigiriya
2026-07-01,20419,Sigiriya
2019-01-01,4129,Ella
2019-02-01,3799,Ella
2019-03-01,3739,Ella
2019-04-01,3190,Ella
2019-05-01,1386,Ella
2019-06-01,1580,Ella
2019-07-01,2532,Ella
2019-08-01,3125,Ella
2019-09-01,2814,Ella
2019-10-01,2739,Ella
2019-11-01,2978,Ella
2019-12-01,3489,Ella
2020-01-01,4528,Ella
2020-02-01,4276,Ella
2020-03-01,2988,Ella
2020-04-01,1746,Ella
2020-05-01,1542,Ella
2020-06-01,1601,Ella
2020-07-01,1283,Ella
2020-08-01,1334,Ella
2020-09-01,1376,Ella
2020-10-01,962,Ella
2020-11-01,938,Ella
2020-12-01,1125,Ella
2021-01-01,1164,Ella
2021-02-01,1187,Ella
2021-03-01,1350,Ella
2021-04-01,1108,Ella
2021-05-01,922,Ella
2021-06-01,886,Ella
2021-07-01,1084,Ella
2021-08-01,907,Ella
2021-09-01,987,Ella
2021-10-01,1535,Ella
2021-11-01,1586,Ella
2021-12-01,2005,Ella
2022-01-01,2528,Ella
2022-02-01,2213,Ella
2022-03-01,2263,Ella
2022-04-01,1494,Ella
2022-05-01,1252,Ella
2022-06-01,1555,Ella
2022-07-01,1712,Ella
2022-08-01,1876,Ella
2022-09-01,1823,Ella
2022-10-01,2018,Ella
2022-11-01,2288,Ella
2022-12-01,2519,Ella
2023-01-01,3944,Ella
2023-02-01,3112,Ella
2023-03-01,3668,Ella
2023-04-01,2664,Ella
2023-05-01,3048,Ella
2023-06-01,3653,Ella
2023-07-01,4018,Ella
2023-08-01,4516,Ella
2023-09-01,3457,Ella
2023-10-01,4363,Ella
2023-11-01,4590,Ella
2023-12-01,5532,Ella
2024-01-01,6770,Ella
2024-02-01,5763,Ella
2024-03-01,5016,Ella
2024-04-01,5160,Ella
2024-05-01,3323,Ella
2024-06-01,2787,Ella
2024-07-01,3589,Ella
2024-08-01,3937,Ella
2024-09-01,2968,Ella
2024-10-01,3278,Ella
2024-11-01,3622,Ella
2024-12-01,4379,Ella
2025-01-01,5980,Ella
2025-02-01,4955,Ella
2025-03-01,4866,Ella
2025-04-01,4156,Ella
2025-05-01,3270,Ella
2025-06-01,3007,Ella
2025-07-01,3993,Ella
2025-08-01,4951,Ella
2025-09-01,3637,Ella
2025-10-01,3390,Ella
2025-11-01,3323,Ella
2025-12-01,2758,Ella
2026-01-01,4490,Ella
2026-02-01,3241,Ella
2026-03-01,2284,Ella
2026-04-01,1831,Ella
2026-05-01,1926,Ella
2026-06-01,1827,Ella
2026-07-01,2193,Ella
2019-01-01,4913,Yala
2019-02-01,4198,Yala
2019-03-01,4298,Yala
2019-04-01,4078,Yala
2019-05-01,2448,Yala
2019-06-01,2834,Yala
2019-07-01,3780,Yala
2019-08-01,3935,Yala
2019-09-01,3598,Yala
2019-10-01,3847,Yala
2019-11-01,4295,Yala
2019-12-01,4571,Yala
2020-01-01,5472,Yala
2020-02-01,4775,Yala
2020-03-01,3211,Yala
2020-04-01,2730,Yala
2020-05-01,2801,Yala
2020-06-01,2792,Yala
2020-07-01,3108,Yala
2020-08-01,3100,Yala
2020-09-01,3893,Yala
2020-10-01,2795,Yala
2020-11-01,2856,Yala
2020-12-01,3279,Yala
2021-01-01,3287,Yala
2021-02-01,3443,Yala
2021-03-01,4068,Yala
2021-04-01,3336,Yala
2021-05-01,2678,Yala
2021-06-01,3068,Yala
2021-07-01,3537,Yala
2021-08-01,3424,Yala
2021-09-01,4026,Yala
2021-10-01,4391,Yala
2021-11-01,4443,Yala
2021-12-01,4605,Yala
2022-01-01,5174,Yala
2022-02-01,4203,Yala
2022-03-01,4770,Yala
2022-04-01,2958,Yala
2022-05-01,2777,Yala
2022-06-01,2642,Yala
2022-07-01,2801,Yala
2022-08-01,4368,Yala
2022-09-01,3374,Yala
2022-10-01,3676,Yala
2022-11-01,3906,Yala
2022-12-01,3348,Yala
2023-01-01,4006,Yala
2023-02-01,3952,Yala
2023-03-01,4711,Yala
2023-04-01,4038,Yala
2023-05-01,4087,Yala
2023-06-01,4076,Yala
2023-07-01,4618,Yala
2023-08-01,5320,Yala
2023-09-01,4692,Yala
2023-10-01,4578,Yala
2023-11-01,5076,Yala
2023-12-01,6025,Yala
2024-01-01,7326,Yala
2024-02-01,5893,Yala
2024-03-01,5695,Yala
2024-04-01,5245,Yala
2024-05-01,3783,Yala
2024-06-01,3018,Yala
2024-07-01,4076,Yala
2024-08-01,4818,Yala
2024-09-01,3432,Yala
2024-10-01,4421,Yala
2024-11-01,4407,Yala
2024-12-01,5057,Yala
2025-01-01,5171,Yala
2025-02-01,4194,Yala
2025-03-01,4266,Yala
2025-04-01,3440,Yala
2025-05-01,3018,Yala
2025-06-01,2966,Yala
2025-07-01,3594,Yala
2025-08-01,3816,Yala
2025-09-01,3142,Yala
2025-10-01,3651,Yala
2025-11-01,3242,Yala
2025-12-01,3168,Yala
2026-01-01,3461,Yala
2026-02-01,3090,Yala
2026-03-01,2660,Yala
2026-04-01,2502,Yala
2026-05-01,2846,Yala
2026-06-01,2638,Yala
2026-07-01,2525,Yala
2019-01-01,1975,Mirissa
2019-02-01,1530,Mirissa
2019-03-01,1570,Mirissa
2019-04-01,1252,Mirissa
2019-05-01,579,Mirissa
2019-06-01,667,Mirissa
2019-07-01,841,Mirissa
2019-08-01,1098,Mirissa
2019-09-01,940,Mirissa
2019-10-01,1172,Mirissa
2019-11-01,1245,Mirissa
2019-12-01,1689,Mirissa
2020-01-01,2031,Mirissa
2020-02-01,1666,Mirissa
2020-03-01,1152,Mirissa
2020-04-01,623,Mirissa
2020-05-01,584,Mirissa
2020-06-01,530,Mirissa
2020-07-01,651,Mirissa
2020-08-01,629,Mirissa
2020-09-01,521,Mirissa
2020-10-01,385,Mirissa
2020-11-01,468,Mirissa
2020-12-01,616,Mirissa
2021-01-01,763,Mirissa
2021-02-01,546,Mirissa
2021-03-01,666,Mirissa
2021-04-01,519,Mirissa
2021-05-01,378,Mirissa
2021-06-01,733,Mirissa
2021-07-01,752,Mirissa
2021-08-01,823,Mirissa
2021-09-01,797,Mirissa
2021-10-01,915,Mirissa
2021-11-01,1177,Mirissa
2021-12-01,1429,Mirissa
2022-01-01,1751,Mirissa
2022-02-01,1793,Mirissa
2022-03-01,1607,Mirissa
2022-04-01,973,Mirissa
