destination,year,month,crowd_risk_level,crowd_score_0_100,crowd_ratio,social_media_sentiment,trending,is_off_season,event_note,recommendation_action,model_used
Sigiriya,2024,1,MEDIUM,59.4,0.5944,0.642,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Ella,2024,1,HIGH,74.3,0.7433,0.911,1,0,,redirect,Ensemble_SARIMA_LSTM_SocialTrend
Galle Fort,2024,1,HIGH,81.0,0.8104,0.806,1,0,Galle Literary Festival,redirect,Ensemble_SARIMA_LSTM_SocialTrend
Kandy,2024,1,MEDIUM,48.6,0.4855,0.696,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Nuwara Eliya,2024,1,MEDIUM,46.9,0.4687,0.683,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Mirissa,2024,1,HIGH,80.1,0.801,0.792,1,0,Whale watching peak season,redirect,Ensemble_SARIMA_LSTM_SocialTrend
Unawatuna,2024,1,HIGH,81.0,0.8097,0.705,1,0,,redirect,Ensemble_SARIMA_LSTM_SocialTrend
Bentota,2024,1,MEDIUM,68.5,0.6853,0.616,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Arugam Bay,2024,1,LOW,14.2,0.1424,0.469,0,1,,avoid_travel,Ensemble_SARIMA_LSTM_SocialTrend
Trincomalee,2024,1,LOW,23.9,0.2386,0.365,0,1,,avoid_travel,Ensemble_SARIMA_LSTM_SocialTrend
Anuradhapura,2024,1,LOW,37.6,0.3756,0.436,0,0,,promote,Ensemble_SARIMA_LSTM_SocialTrend
Polonnaruwa,2024,1,LOW,30.1,0.301,0.365,0,0,,promote,Ensemble_SARIMA_LSTM_SocialTrend
Dambulla,2024,1,MEDIUM,46.7,0.4669,0.657,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Yala,2024,1,MEDIUM,51.8,0.5183,0.673,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
