user_id,destination,nationality,travel_month,rating,preference_alignment_score,preferred_type,crowd_tolerance,trip_budget,data_source,review_text
REAL_0,Colombo,Unknown,3,5,1.0,,,,kaggle_real,Some spots are very scenic and make it an ideal dwelling for birds and other creatures. But would be lots better if the locals make an effort to preserve its pristine nature by not littering.. â¦
REAL_1,Colombo,Unknown,3,3,0.5,,,,kaggle_real,"Good place for birdwatching not only waterbirds, different type of species around here"
REAL_2,Colombo,Unknown,6,4,0.75,,,,kaggle_real,Calm and peaceful location to visit in your leisure time. They got a separate walking and jogging path and a separate path to ride bicycles. There are bicycle renting shops near the park. You can rent bicycles from them and ride. They got â¦
REAL_3,Colombo,Unknown,6,3,0.5,,,,kaggle_real,This is one of the only places in the entire city that is known for providing shelter to a minimum of 50 different species of birds. This includes both migratory and local birds. Here you will be able to witness a large number of â¦
REAL_4,Colombo,Unknown,6,4,0.75,,,,kaggle_real,"Early morning is a magical time at Attidiya. As dawn breaks through the cool mists that surround the marshy waters, one can observe the rich bird life at Attidya as they move freely around looking for food and preening themselves for the â¦"
REAL_5,Colombo,Unknown,6,4,0.75,,,,kaggle_real,"A wonderfull place for cycling, there are good set of people maintain it properly. Food court aalso rich. Has enough space for parking during the weekend too."
REAL_6,Colombo,Unknown,6,3,0.5,,,,kaggle_real,Urban birds watching place.some are thinking this place similar as Bellanwila park.But those are separate locations.not develop road and better to go this road by bike.you can catch some amount of birds pictures and be careful about crocodiles
REAL_7,Colombo,Unknown,6,2,0.25,,,,kaggle_real,The closest place to heaven you can find close to Colombo suburbs. An average food court cannot mar the beauty it holds within itself. The place is lively and filled with laughter. You can rent a bike for a 3.8km ride around the sanctuary â¦
REAL_8,Colombo,Unknown,6,5,1.0,,,,kaggle_real,Very relaxing place located conveniently. Plenty of parking around the place. For birds watching best times are 6.30am and around 4.30pm. Walking track is 3.5km round trip. After passing Pillawa Temple is a good area to watch birds. Also â¦
REAL_9,Colombo,Unknown,6,5,1.0,,,,kaggle_real,"Beautiful place..highly recommended for walking, jogging, and bicycles rides..very calm and natural place for relaxing..love this placeð â¦"
REAL_10,Colombo,Unknown,6,3,0.5,,,,kaggle_real,This is not in fact a birds sanctuary which is a wrong term but a jogging and cycling track with a food court and seating area with cement tables under trees. You can get a bike on rent for Rs. 100 by keeping your nic on lien. There are 2 â¦
REAL_11,Colombo,Unknown,6,3,0.5,,,,kaggle_real,"Amidst the well populated suburbs of Attidiya, just outside Colombo, lie the marshy lands of Attidiya Bird Sanctuary. Bordering the famous Bellanwila Buddhist Temple; the sanctuary has rich and diverse birdlife, despite its comparatively â¦"
REAL_12,Colombo,Unknown,6,3,0.5,,,,kaggle_real,It's very nice place to watch Birds near by Colombo. With large lake surrounding the  bird sanctuary
REAL_13,Colombo,Unknown,6,3,0.5,,,,kaggle_real,Contact me via shiraj@365tranquil.com. Have my own bungalow where you can stay and will accompany you to many bird watching sanctuary in Colombo District Western Province. Including Attidiya Bird Sanctuary
REAL_14,Colombo,Unknown,6,3,0.5,,,,kaggle_real,This is probably the only place in Colombo that provides shelter to at least 50 different species of birds (both local and migratory). â¦
REAL_15,Colombo,Unknown,2,3,0.5,,,,kaggle_real,Good place for bird watching.. reach early morning....
REAL_16,Colombo,Unknown,6,3,0.5,,,,kaggle_real,"There are many local and foreign birds, they are not scared to human, crocodiles are in the lake."
REAL_17,Colombo,Unknown,6,4,0.75,,,,kaggle_real,"Nice palce to see birds. If you can in morning around 6, you can see beautiful views."
REAL_18,Colombo,Unknown,6,5,1.0,,,,kaggle_real,"Beautiful scenery. Lovely place for a walk, jog or cycle ride. Most common area to do everything is in the Lake Road. Sometimes I have seen crocodiles as well. But a nice place to just enjoy and come in the evening time. With the change"
REAL_19,Colombo,Unknown,6,4,0.75,,,,kaggle_real,"Very important place to keep the balance of the nature. However, part of the sanctuary near the Bridge of Attidiya Road near Bellantara has been invaded by shops covering the scenic view. The board there had been displaced as well. â¦"
REAL_20,Colombo,Unknown,6,2,0.25,,,,kaggle_real,"Ideal place for day outing with your family. During the weekends the place is much crowded but you can enjoy and have a meal from food court, can ride a bicycle ride around the lake. you can rent a bicycle from there (100/- per 1 hour)"
REAL_21,Colombo,Unknown,3,3,0.5,,,,kaggle_real,Not much for me good for nature lovers
