year,month,national_arrivals,annual_total
2015,1,167868,1798380
2015,2,157650,1798380
2015,3,163489,1798380
2015,4,143052,1798380
2015,5,119697,1798380
2015,6,124076,1798380
2015,7,153271,1798380
2015,8,160569,1798380
2015,9,134294,1798380
2015,10,138673,1798380
2015,11,160569,1798380
2015,12,175166,1798380
2016,1,191433,2050832
2016,2,179780,2050832
2016,3,186439,2050832
2016,4,163134,2050832
2016,5,136500,2050832
2016,6,141494,2050832
2016,7,174786,2050832
2016,8,183110,2050832
2016,9,153146,2050832
2016,10,158140,2050832
2016,11,183110,2050832
2016,12,199756,2050832
2017,1,197554,2116407
2017,2,185529,2116407
2017,3,192400,2116407
2017,4,168350,2116407
2017,5,140864,2116407
2017,6,146018,2116407
2017,7,180375,2116407
2017,8,188964,2116407
2017,9,158043,2116407
2017,10,163196,2116407
2017,11,188964,2116407
2017,12,206143,2116407
2018,1,217846,2333796
2018,2,204586,2333796
2018,3,212163,2333796
2018,4,185642,2333796
2018,5,155333,2333796
2018,6,161016,2333796
2018,7,198903,2333796
2018,8,208374,2333796
2018,9,174276,2333796
2018,10,179959,2333796
2018,11,208374,2333796
2018,12,227317,2333796
2019,1,178632,1913702
2019,2,167759,1913702
2019,3,173972,1913702
2019,4,152226,1913702
2019,5,127373,1913702
2019,6,132033,1913702
2019,7,163099,1913702
2019,8,170866,1913702
2019,9,142906,1913702
2019,10,147566,1913702
2019,11,170866,1913702
2019,12,186399,1913702
2020,1,177696,507704
2020,2,177696,507704
2020,3,10154,507704
2020,4,10154,507704
2020,5,10154,507704
2020,6,10154,507704
2020,7,31985,507704
2020,8,31985,507704
2020,9,31985,507704
2020,10,31985,507704
2020,11,31985,507704
2020,12,31985,507704
2021,1,1944,194495
2021,2,1944,194495
2021,3,1944,194495
2021,4,1944,194495
2021,5,1944,194495
2021,6,1944,194495
2021,7,1944,194495
2021,8,23339,194495
2021,9,23339,194495
2021,10,23339,194495
2021,11,23339,194495
2021,12,23339,194495
2022,1,67205,719978
2022,2,63114,719978
2022,3,65452,719978
2022,4,57270,719978
2022,5,47920,719978
2022,6,49673,719978
2022,7,61361,719978
2022,8,64283,719978
2022,9,53764,719978
2022,10,55517,719978
2022,11,64283,719978
2022,12,70127,719978
2023,1,138831,1487303
2023,2,130380,1487303
2023,3,135209,1487303
2023,4,118308,1487303
2023,5,98992,1487303
2023,6,102614,1487303
2023,7,126758,1487303
2023,8,132794,1487303
2023,9,111064,1487303
2023,10,114686,1487303
2023,11,132794,1487303
2023,12,144867,1487303
2024,1,191678,2053465
2024,2,180011,2053465
2024,3,186678,2053465
2024,4,163343,2053465
2024,5,136675,2053465
2024,6,141675,2053465
2024,7,175011,2053465
2024,8,183345,2053465
2024,9,153343,2053465
2024,10,158343,2053465
2024,11,183345,2053465
2024,12,200012,2053465
