destination,year,month,avg_temp_max_c,avg_temp_min_c,avg_temp_c,total_rainfall_mm,rainy_days,avg_humidity_pct,sunshine_hours_daily,weather_suitability_score,season,is_peak_national
Colombo,2015,1,30.8,22.6,26.7,91.9,8,72.5,8.3,0.893,dry_season,1
Colombo,2015,2,31.1,22.8,27.0,86.2,5,73.1,8.9,0.9107,dry_season,1
Colombo,2015,3,31.7,23.7,27.7,145.7,8,69.6,8.1,0.841,dry_season,1
Colombo,2015,4,31.6,24.6,28.1,213.1,13,73.2,7.3,0.7643,dry_season,1
Colombo,2015,5,31.6,25.4,28.5,379.0,17,78.9,5.9,0.5873,southwest_monsoon,0
Colombo,2015,6,30.0,24.6,27.3,205.4,17,81.4,5.9,0.7416,southwest_monsoon,0
Colombo,2015,7,29.5,24.1,26.8,173.3,13,82.6,6.5,0.7828,southwest_monsoon,0
Colombo,2015,8,29.2,23.9,26.5,117.3,10,81.4,6.2,0.8263,southwest_monsoon,0
Colombo,2015,9,30.2,24.2,27.2,264.7,16,78.0,6.2,0.6952,southwest_monsoon,0
Colombo,2015,10,29.6,23.5,26.6,345.2,19,77.5,6.3,0.6258,northeast_monsoon,0
Colombo,2015,11,30.0,23.2,26.6,315.5,17,81.1,6.4,0.6543,northeast_monsoon,0
Colombo,2015,12,30.7,22.8,26.8,175.6,10,78.0,7.3,0.7976,dry_season,1
Colombo,2016,1,30.3,22.4,26.4,97.5,6,74.6,7.8,0.8775,dry_season,1
Colombo,2016,2,31.6,23.0,27.3,76.6,5,70.7,9.0,0.9214,dry_season,1
Colombo,2016,3,31.9,23.8,27.9,195.0,12,67.8,8.0,0.7951,dry_season,1
Colombo,2016,4,32.0,24.8,28.4,261.4,15,72.0,7.1,0.7171,dry_season,1
Colombo,2016,5,30.8,25.0,27.9,433.3,20,78.4,6.3,0.5475,southwest_monsoon,0
Colombo,2016,6,29.7,24.4,27.0,282.2,19,83.0,5.9,0.6734,southwest_monsoon,0
